题记序号,题记名称,时间,公元纪年,地点,窟位,造像者人数,性别,所造佛像名称,出资者,造像者身份表述,阶层,社邑组织,实践行为（一级编码）,实践行为（二级编码）,祈愿内容（一级编码）,祈愿内容（二级编码）,造像原因（一级编码）,造像原因（二级编码）,关联历史事件,经文,妆造类型,宗教类型,宗派倾向(主宗派倾向；副宗派倾向）,备注
11,北山佛湾刘净意造像记,唐（不晚于乾宁三年，896 年）,≤896,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 245 号龛,北山佛湾第 245 号龛,4,2 男、2 女,西方净土变、“九品往生”“未生怨” 故事、韦提希 “十六观” 图相,刘净意、陈静喜、李氏、文氏,化首、弟子,混合群体(虔诚弟子、普通百姓),非社邑,造像制作、,发心造像,超度往生,往生净土 (九品往生),信息不详,信息不详,事件未提,[不详],新造,佛教,净土,
12,北山佛湾第 18 号龛造像记,唐（唐光化二年前造像）,≤899,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 18 号龛,北山佛湾第 18 号龛,「不详」,未知（题记模糊）,一佛二菩萨,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
13,北山佛湾第 19 号龛造像记,晚唐,836-907,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 19 号龛,北山佛湾第 19 号龛,「不详」,[不详],救苦观音菩萨、菩萨,「不详」,无,[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
14,北山佛湾第 25 号龛造像记,晚唐,836-907,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 25 号龛,北山佛湾第 25 号龛,「不详」,未知（题记模糊）,一佛二菩萨,「不详」,无,[不详],非社邑,信息不详、,信息不详,超度往生,往生净土 (为亡妣),超度荐亡,亡亲超荐,家庭变故(亡妣),[不详],新造,佛教,无法判定,
15,北山佛湾第 54 号龛造像记,晚唐,836-907,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 54 号龛,北山佛湾第 54 号龛,「不详」,未知（题记模糊）,观音,「不详」,无,[不详],非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
16,营盘坡第 6 号龛造像记,唐乾宁三年（896 年）,896,重庆市大足区龙岗街道北山路北山石刻营盘坡第 6 号龛,营盘坡第 6 号龛,「不详」,未知（题记模糊）,释迦佛,「不详」,无,未明群体,非社邑,造像制作、供养施舍、,镌刻雕造、看经念诵,现世福报,子嗣昌盛 (新生男),祈福禳灾,护子求嗣,事件未提,[不详],新造,佛教,无法判定,
17,北山库房何氏造像记,唐乾宁年间（894-896 年）,894-896,现藏于北山库房,「不详」,3,1 女、2 男,一圆雕石刻像,何氏女、娘女夫满、次孙男□、元正,无,普通百姓(家庭合署),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造 + 重妆,佛教,无法判定,
18,北山佛湾周氏造像记,前蜀永平三年（913 年）,913,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 32 号龛,北山佛湾第 32 号龛,1,女,日月光菩萨,周氏,无,虔诚弟子,非社邑,造像制作、供养施舍、纪念庆赞、,发心造像、设斋供养、设斋表赞,超度往生,往生净土 (为亡妣),超度荐亡,亡亲超荐,家庭变故(亡妣),[不详],新造,佛教,药师体系,
19,北山佛湾种审能造像记,前蜀永平五年（915 年）,915,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 53 号龛,北山佛湾第 53 号龛,2,男,地藏菩萨、观音菩萨、阿弥陀佛,种审能、常俊荣,右衙第三军散副将、弟子,混合群体(在职官员、虔诚弟子),非社邑,造像制作、供养施舍、纪念庆赞、,发心造像、设斋供养、设斋表赞,超度往生,往生净土 (化生西方),超度荐亡,亡亲超荐 (为亡男希言),家庭变故(亡男希言)、地方暴力(被贼伤煞),[不详],新造,佛教,"净土,地藏体系",
20,北山佛湾温孟达造像记,前蜀乾德四年（966 年）,922,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 39 号龛,北山佛湾第 39 号龛,12,12 男,大威德炽盛光佛、九曜,温孟达、蹇忠进、于彦章、梁觉、陈季□、邓知进、杨宗厚、蹇□芝、程彦晖、王孟言、王德全、陈□,弟子、兄弟,平民合众,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,现世福报,福寿康宁 (百年相守),祈福禳灾,家族昌盛/消灾免难,事件未提,[不详],新造,佛教,密教,
21,北山佛湾第 27 号龛造像记,后蜀广政元年（938 年）,938,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 27 号龛,北山佛湾第 27 号龛,「不详」,[不详],观音,「不详」,无,[不详],非社邑,纪念庆赞、,设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,六斋日
22,北山佛湾于彦章造像记,后蜀广政三年（940 年）,940,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 37 号龛,北山佛湾第 37 号龛,2,2 男,地藏菩萨,于彦章、邓知进,弟子,平民合众,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,现世福报,家庭和睦 (眷属宁泰),祈福禳灾,家族昌盛,事件未提,[不详],新造,佛教,地藏体系,另有版本
23,北山佛湾第 35 号龛造像记,后蜀广政四年（941 年）,941,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 35 号龛,北山佛湾第 35 号龛,「不详」,未知（题记模糊）,释迦佛,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
24,北山佛湾第 244 号龛造像记,后蜀广政八年（945 年）,945,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 244 号龛,北山佛湾第 244 号龛,「不详」,未知（题记模糊）,地藏菩萨,「不详」,无,[不详],非社邑,造像制作、纪念庆赞、,发心造像、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,地藏体系,
25,北山佛湾刘恭造药师琉璃光佛记,后蜀广政十七年（954 年）,954,重庆市大足区龙岗街道北山路北山石刻北山佛湾 281 号龛,北山佛湾第 281 号龛,至少7人,至少4 男、3 女,药师琉璃光佛、八菩萨、十二神王、七佛、三世佛、阿弥陀佛、尊胜幢菩萨、地藏菩萨,刘恭、任氏、大娘子、二娘子、仁寿、仁福、仁禄,右厢都押衙知衙务、姨母、男女眷属,混合群体(在职官员、普通百姓(家庭合署)),非社邑,造像制作、造像制作、纪念庆赞、,发心造像、镌刻雕造、设斋表赞,现世福报,福寿康宁 (寿算遐昌),祈福禳灾,延寿增福,事件未提,[不详],新造,佛教,"净土,药师体系；密教",另有版本
26,北山佛湾刘恭造佛顶尊胜陀罗尼经幢记,后蜀,934-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾 281 号龛,北山佛湾第 281 号龛,1,男,佛顶尊胜陀罗尼经幢,刘恭,右厢□□衙知衙务,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,娑□□□□□□诃□□娑秫地阿嚩秫地阿鼻〔诜〕□□□□多伐折那阿嘧嘌多毗□ 阿诃罗诃罗阿瑜□陀,新造,佛教,密教,
27,北山佛湾第 260 号龛造像记,后蜀广政十八年（955 年）,955,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 260 号龛,北山佛湾第 260 号龛,「不详」,未知（题记模糊）,佛顶尊胜陀罗尼幢,「不详」,无,[不详],非社邑,造像制作、纪念庆赞、,发心造像、庆讫记功,超度往生,往生净土 (永升净),超度荐亡,亡亲超荐,家庭变故(亡母王氏),佛顶尊胜陀罗尼：郍谟薄伽跋帝啼 □罗幺毗失瑟(漶) 伽跋帝但侄他□毗轮驮耶娑摩三□多□婆娑□揭幺伽诃郍婆娑嚩秫地阿鼻〔诜〕者苏揭多伐折□□嘧嘌多毗□ 阿诃罗阿诃罗阿瑜□(漶) 轮陀耶伽伽郍毗秫□□瑟□沙毗□耶林(漶) 罗□□弭诃珠地帝萨婆陀他轮多地(漶) 慕侄□跋折罗迦耶僧诃□多郍伐□耶阿(漶) 你怛闇多部多俱佤钵耶秫帝(漶) 耶毗 耶□□怛(漶) 提钵罗揭轮□折蓝婆伐都摩(漶) 萨埵□迦耶毗秫提萨(漶) 帝萨诃慕帝罗婆娑漶,新造,佛教,密教,
28,北山佛湾王承秀造像记,后蜀广政十八年（955 年）（造像）、北宋咸平四年（1001 年）（重修）,955、1001,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 279 号龛,北山佛湾第 279 号龛,13,6 男、7 女,药师佛、阿弥陀佛、尊胜幢、地藏菩萨,王承秀、张救脱、劭氏、李氏、周氏、二娘子、四娘子、于承江、五香、二香、三香、肖休,通引官行首、女弟子、眷属,混合群体(在职官员、普通百姓),非社邑,造像制作、供养施舍、供养施舍、庄严修饰、纪念庆赞、,发心造像、看经念诵、施财舍物、妆銮彩绘、设斋表赞,现世福报,福寿康宁 (福寿长远),祈福禳灾,延寿增福,事件未提,[不详],新造 + 重修,佛教,"净土,药师体系；密教",
29,北山佛湾第 279 号龛造像记,后蜀年间,934-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 279 号龛,北山佛湾第 279 号龛,「不详」,[不详],佛顶尊胜陀罗尼经幢,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,佛顶尊胜陀罗尼曰：曩谟薄伽跋帝□□迦钵罗么毗失瑟吒耶勃陀耶〔薄〕伽跋帝〔怛〕阇他唵毗轮驮耶三摩三□□□婆婆娑钵罗弩揭谛迦□□婆婆嚩秫地阿鼻诜者□揭多伐折郍阿嘧嘌多毗囉罽阿诃罗阿瑜散□□□□□驮耶轮驮耶哦哦□□□□地乌瑟尼沙毗舍耶□□□□萨罗,新造,佛教,密教,
30,北山佛湾王启仲造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 21 号龛,北山佛湾第 21 号龛,1,男,阿弥陀佛,王启仲,孤子,虔诚弟子,非社邑,造像制作、,发心造像,超度往生,往生净土 (神生净土),超度荐亡,亡亲超荐,家庭变故(亡者),[不详],新造,佛教,净土,
31,北山佛湾第 209 号龛造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 209 号龛,北山佛湾第 209 号龛,「不详」,[不详],解冤结菩萨,「不详」,无,[不详],非社邑,信息不详、,信息不详,现世福报,消灾免难 (解冤),祈福禳灾,解冤释结,事件未提,[不详],新造,佛教,密教,
32,北山佛湾陈氏造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 252 号龛,北山佛湾第 252 号龛,1,女,观音、地藏,陈氏,弟子,虔诚弟子,非社邑,供养施舍、,设斋供养,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系；地藏体系,
33,北山佛湾杨正章造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 252 号龛,北山佛湾第 252 号龛,2,2 男,「不详」（可能为药师净土变相、日月光菩萨、十二神将等）,杨正章、杨古章,无,未明群体,非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"净土,药师体系",
34,北山佛湾第 255 号龛造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 255 号龛,北山佛湾第 255 号龛,「不详」,未知（题记模糊）,「不详」（可能为药师净土变相、日月光菩萨、十二神将）,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,"净土,药师体系",
35,北山佛湾解氏造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 255 号龛,北山佛湾第 255 号龛,1,女,「不详」（可能为药师净土变相、日月光菩萨、十二神将）,解氏,女弟子,虔诚弟子,非社邑,信息不详、,信息不详,现世福报,消灾免难 (患耳愿早除),祈福禳灾,祛病安康,事件未提,[不详],新造,佛教,"净土,药师体系",
36,营盘坡第 13 号龛造像记,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻营盘坡第 13 号龛,营盘坡第 13 号龛,「不详」,未知（题记模糊）,观音,「不详」,小师、杨书□,[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
37,佛耳岩第 9 号龛造像记-1,前后蜀年间,902-965,重庆市大足区龙岗街道北山路北山石刻佛耳岩第 9 号龛,佛耳岩第 9 号龛,「不详」,[不详],药师琉璃光佛、日月光菩萨,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,药师体系,
38,佛耳岩第 9 号龛造像记-2,前后蜀年间,902-965,佛耳岩第 9 号龛,佛耳岩第 9 号龛,「不详」,[不详],药师琉璃光佛、日月光菩萨,「不详」,无,[不详],非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详 (装饰),事件未提,[不详],重妆,佛教,药师体系,
39,北山佛湾第 249 号龛造像记,北宋至道年间（995—997 年）,995-997,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 249 号龛,北山佛湾第 249 号龛,「不详」,[不详],观音、地藏菩萨,「不详」,无,[不详],非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系；地藏体系,
40,北山佛湾李氏造像记,北宋至道年间（995—997 年）,995-997,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 249 号龛,北山佛湾第 249 号龛,1,女,观音、地藏,李氏,无,虔诚弟子,非社邑,庄严修饰、,妆銮彩绘,信息不详,信息不详,信息不详,信息不详 (装饰),事件未提,[不详],重妆,佛教,观音体系；地藏体系,
41,北山佛湾第 288 号龛造像记,北宋大观元年（1107 年）,1107,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 288 号龛,北山佛湾第 288 号龛,「不详」,未知（题记模糊）,千手观音,「不详」,奉善弟子、马道者,[不详],非社邑,造像制作、纪念庆赞、,镌刻雕造、设斋表赞,现世福报,福寿康宁 (保寿年),信息不详,信息不详,事件未提,[不详],新造,佛教,"密教,观音体系",
42,北山佛湾第 286 号龛造像记,北宋大观三年（1110 年）,1110,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 286 号龛,北山佛湾第 286 号龛,1,未知（题记模糊）,观音,「不详」,无,虔诚弟子,非社邑,造像制作、造像制作、庄严修饰、纪念庆赞、,发心造像、镌刻雕造、妆銮彩绘、设斋表赞,现世福报,消灾免难 (病疾),祈福禳灾,祛病安康,事件未提,[不详],新造 + 镌妆,佛教,观音体系,
43,北山佛湾邓惟明造像记,北宋政和六年（1116 年）,1116,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 180 号窟,北山佛湾第 180 号窟,1,男,普见菩萨,邓惟明,仕人、弟子,名门士族,非社邑,造像制作、,绘塑造像,现世福报,家庭和睦 (一家安乐),祈福禳灾,护宅安镇,事件未提,[不详],新造,佛教,密教,
44,北山佛湾第 180 号窟造像记-1,北宋宣和二年（1120 年）,1120,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 180 号窟,北山佛湾第 180 号窟,「不详」,未知（题记模糊）,观音,「不详」,无,[不详],非社邑,造像制作、庄严修饰、,镌刻雕造、妆銮彩绘,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造 + 镌妆,佛教,观音体系,
45,北山佛湾第 180 号窟造像记-2,北宋宣和四年（1122 年）,1122,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 180 号窟,北山佛湾第 180 号窟,1,男,观音菩萨,「不详」,奉佛弟子,平民合众,非社邑,造像制作、造像制作、纪念庆赞、,发心造像、绘塑造像、设斋表赞,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
46,北山佛湾第 180 号窟造像记-3,北宋宣和年间,1119-1125,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 180 号窟,北山佛湾第 180 号窟,「不详」,未知（题记模糊）,观音,「不详」,无,[不详],非社邑,信息不详、,信息不详,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,观音体系,
47,北山佛湾李世明造像记,北宋宣和三年（1121 年）,1121,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,2,1 男、1 女,罗汉,李世明、李世明夫妇,奉善弟子,虔诚弟子(家庭合署),非社邑,造像制作、,发心造像,现世福报,家庭和睦 (合家安宁),祈福禳灾,护子求嗣,事件未提,[不详],新造,佛教,无法判定,
48,北山佛湾何仪兴造像记,北宋宣和四年（1122 年）,1122,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,6,2 男、4 女,罗汉,何仪兴、何觉发、大娘子、二娘子、三娘子、四娘子,奉善弟子、合家,虔诚弟子(家庭合署),非社邑,造像制作、造像制作、庄严修饰、,发心造像、镌刻雕造、妆銮彩绘,信息不详,信息不详,祈福禳灾,家族昌盛,事件未提,[不详],镌妆,佛教,无法判定,
49,北山佛湾苗氏造像记,北宋宣和年间（1119—1125 年）,1119-1125,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,「不详」,未知（题记模糊）,罗汉,苗氏夫妇、小八,奉善弟子,虔诚弟子(家庭合署),非社邑,造像制作、供养施舍、纪念庆赞、,发心造像、看经念诵、设斋表赞,信息不详,信息不详,祈福禳灾,护子求嗣,事件未提,[不详],新造,佛教,无法判定,
50,北山佛湾王惟祖造像记,宋,960-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,2,1 男、1 女,罗汉,王惟祖夫妇,弟子,虔诚弟子(家庭合署),非社邑,造像制作、,发心造像,信息不详,信息不详,信息不详,信息不详,事件未提,[不详],新造,佛教,无法判定,
51,北山佛湾王北倒造像记,宋,960-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 168 号窟,北山佛湾第 168 号窟,2,1 男、1 女,罗汉,王北倒夫妇,弟子,虔诚弟子(家庭合署),非社邑,造像制作、,发心造像,现世福报,消灾免难 (祈无灾),祈福禳灾,消灾免难,事件未提,[不详],新造,佛教,无法判定,
52,北山佛湾伏元俊造孔雀明王记,北宋靖康元年（1126 年）,1126,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 155 号龛,北山佛湾第 155 号龛,2,2 男,孔雀明王像,伏元俊、伏世能,匠人,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详 (工匠题记),事件未提,[不详],新造,佛教,密教,另有版本
53,北山佛湾伏元俊造弥勒记,北宋靖康元年（1126 年）,1126,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 176 号龛,北山佛湾第 176 号龛,2,2 男,弥勒、泗州大圣,伏元俊、伏世能,匠人,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详 (工匠题记),事件未提,[不详],新造,佛教,弥勒体系；观音体系,
54,北山佛湾伏元俊造泗州大圣记,北宋靖康元年（1126 年）,1126,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 177 号龛,北山佛湾第 177 号龛,1,男,泗州大圣,伏元俊,匠人,商贾匠人,非社邑,造像制作、,镌刻雕造,信息不详,信息不详,信息不详,信息不详 (工匠题记),事件未提,[不详],新造,佛教,观音体系,
55,北山佛湾任宗易造像记,南宋建炎二年（1128 年）,1128,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 149 号窟,北山佛湾第 149 号窟,2,1 男、1 女,如意轮圣观自在菩萨,任宗易、杜氏,奉直大夫知军州事、恭人,在职官员(家庭合署),非社邑,造像制作、造像制作、庄严修饰、,发心造像、镌刻雕造、妆銮彩绘,国邦安宁,风调雨顺 (干戈永息),祈福禳灾,护国安邦,战乱兵祸(干戈永息),[不详],新造 + 镌妆,佛教,"密教,观音体系",
56,北山佛湾任宗易造自赞像记,南宋,1127-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 149 号窟,北山佛湾第 149 号窟,1,男,任宗易自赞像,任宗易,奉直大夫知军州事,在职官员,非社邑,造像制作、,发心造像,信息不详,信息不详 (自赞),信息不详,信息不详 (自赞),事件未提,[不详],新造,佛教,无法判定,
57,北山佛湾杜慧修造像记,南宋,1127-1279,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 149 号窟,北山佛湾第 149 号窟,1,女,杜慧修自赞像,杜慧修,无,虔诚弟子,非社邑,信息不详、,信息不详,修行证悟,断惑解脱 (爱根脱离、悟本来面),修证悟道,发心修行,事件未提,[不详],新造,佛教,无法判定,
58,北山佛湾文志李大郎造像记,南宋绍兴四年（1134 年）,1134,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 137 号维摩图,北山佛湾第 137 号维摩图,4,2男、2 女,文殊诣维摩诘问疾图,文志、李大郎、罗复明、志诚,昌州充宁十将、摹刻匠人、住岩僧,混合群体(在职官员、商贾匠人、僧尼个体 ),非社邑,供养施舍、纪念庆赞、,施财舍物、立碑题铭,现世福报,福寿康宁 (图福利),祈福禳灾,延寿增福,事件未提,[不详],新造,佛教,无法判定,
59,北山佛湾张莘民造像记,南宋绍兴十二年（1142 年）,1142,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号转轮经藏窟,北山佛湾第 136 号转轮经藏窟,1,男,观音菩萨,张莘民,左朝散大夫权发遣昌州军州事,在职官员,非社邑,造像制作、造像制作、庄严修饰、供养施舍、供养施舍、纪念庆赞、,发心造像、镌刻雕造、妆銮彩绘、施财舍物、设斋供养、设斋表赞,国邦安宁,国泰民安 (国祚兴隆),祈福禳灾,护国兴邦,事件未提,[不详],新造 + 镌妆,佛教,观音体系,
60,北山佛湾陈文明造像记,南宋绍兴十三年（1143 年）,1143,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号转轮经藏窟,北山佛湾第 136 号转轮经藏窟,2,1 男、1 女,大势至菩萨、迦叶、阿难,陈文明、郭氏、胥安,奉善弟子、镌匠,混合群体(虔诚弟子、商贾匠人),非社邑,造像制作、庄严修饰、纪念庆赞、纪念庆赞、,镌刻雕造、妆銮彩绘、设斋表赞、立碑题铭,现世福报,福寿康宁 (寿年遐远),祈福禳灾,延寿增福,事件未提,[不详],新造 + 镌妆,佛教,无法判定,
61,北山佛湾赵彭年造像记,南宋绍兴十三年（1143 年）,1143,重庆市大足区龙岗街道北山路北山石刻北山佛湾第 136 号转轮经藏窟,北山佛湾第 136 号转轮经藏窟,2,1 男、1 女,文殊师利菩萨、普贤王菩萨,赵彭年、寿杨氏,左从事朗昌州录事参军兼司户司法、同寿,在职官员(家庭合署),非社邑,造像制作、造像制作、供养施舍、纪念庆赞、纪念庆赞、,发心造像、镌刻雕造、设斋供养、设斋表赞、立碑题铭,国邦安宁,国泰民安 (圣寿无疆),祈福禳灾,护国兴邦,事件未提,[不详],新造,佛教,无法判定,
